index,true_label,pred_label,margin,entropy,logit_c0,logit_c1,logit_c2,logit_c3,logit_c4,logit_c5,logit_c6,logit_c7,logit_c8,logit_c9,logit_c10,logit_c11,logit_c12,logit_c13,logit_c14,logit_c15
1212,11,15,0.11546953,1.4982531,-5.217161,-7.5022306,-6.7507305,-4.321145,-5.695831,-3.4234118,0.058072984,-1.0725727,0.9411661,1.3691307,-3.217028,6.973546,7.8807373,7.915239,7.0802126,8.3174515
1213,11,14,0.062271237,1.4773879,-5.327162,-6.0736814,-6.1814165,-3.9370992,-5.552239,-2.6985002,0.68849003,-1.1949084,0.37662685,0.47008938,-3.44924,6.0709968,6.953722,7.6818485,7.887798,7.405761
1214,11,15,0.13766795,1.3614235,-5.324892,-4.462062,-6.111718,-3.803608,-5.3887386,-3.3509715,-0.47861677,-1.6426542,-1.2276646,-0.36104375,-3.1338563,6.5436406,7.437643,8.352952,7.3403015,8.73646
1215,11,15,0.12204453,1.5371815,-5.3667364,-3.3032703,-5.8736076,-3.6729336,-5.2122464,-2.9612954,-0.8925498,-1.7959205,-1.9360385,-0.6380019,-2.6298327,6.743838,7.3512616,7.3081927,7.5242553,7.9758086
1216,11,15,0.014853567,1.5728662,-5.3932867,-2.099018,-5.602364,-3.4981751,-5.010396,-2.6652558,-0.8583633,-1.9931136,-2.5229118,-1.2242444,-2.649681,6.6511426,7.108412,6.975463,7.3922205,7.4492087
1217,11,14,0.13016659,1.4985209,-5.426155,0.033314705,-5.0324955,-3.0070047,-4.67521,-1.9621513,-0.6489548,-2.4025464,-3.4393532,-2.122311,-2.9023013,6.250249,6.8118057,6.21754,7.2377863,5.954811
1218,11,11,0.103941604,1.5777793,-5.4316173,0.8104027,-4.808053,-3.1891766,-4.4847445,-1.7864974,-0.7892315,-2.551237,-3.7782164,-2.3437142,-2.7412388,6.799786,6.251737,6.3824015,6.317121,5.9450207
1219,11,11,0.13950555,1.5826676,-5.438442,1.420336,-4.6562104,-2.999569,-4.266576,-1.5734415,-0.8476081,-2.5760984,-3.9928815,-2.6214643,-2.7284122,6.5616627,5.9806547,5.845273,5.9877043,5.8923864
1220,11,11,0.07822043,1.532837,-5.446393,2.6460667,-4.287323,-2.6605105,-4.063818,-1.0274975,-0.7425825,-2.8278046,-4.469166,-3.0584807,-2.8130538,6.21128,5.83394,4.9431343,5.941573,4.8680973
1221,11,11,0.17104663,1.5656425,-5.4316087,3.1992588,-4.102599,-2.6382947,-4.07977,-0.9500358,-0.6561513,-3.0035985,-4.57854,-3.3208225,-3.0034938,6.221114,5.617632,4.977009,5.4699802,4.986724
1222,11,11,0.17818387,1.5782261,-5.4325833,3.5175638,-3.9937713,-2.5586858,-4.00342,-0.7999753,-0.67156637,-3.0505276,-4.6875463,-3.4465098,-2.9921017,6.1113267,5.484603,4.737744,5.326232,4.8814154
1223,11,11,0.19551848,1.5070815,-5.440345,2.6510284,-4.2008343,-2.9033983,-4.123662,-1.1125603,-0.7409389,-2.8980794,-4.335983,-3.056,-2.925781,6.519369,5.3296056,5.840205,4.889245,5.8092604
1224,11,11,0.25947362,1.4533072,-5.439904,3.2592587,-3.9905853,-2.840746,-4.0386057,-0.89519405,-0.6872736,-3.0755963,-4.52048,-3.191304,-3.0737731,6.5675488,5.1731524,5.739119,4.5388403,5.416727
1225,11,11,0.33851415,1.4236956,-5.4326735,3.5465102,-3.888872,-2.7938004,-4.0380545,-0.8337896,-0.6629468,-3.179903,-4.6270432,-3.2804112,-3.105842,6.612762,5.2600007,5.507656,4.6575823,4.984826
1226,11,11,0.23630328,1.4512998,-5.433919,2.4955208,-4.238179,-3.02203,-4.222454,-1.2258047,-0.7057391,-2.9259357,-4.3198667,-2.9148965,-2.9044032,6.799338,5.552082,6.0512257,5.1549563,5.455042
1227,11,11,0.16180882,1.4909387,-5.4429493,2.7162066,-4.2339606,-2.7965634,-4.203645,-1.0619898,-0.6480526,-2.926927,-4.5006337,-2.9852028,-2.816468,6.482239,5.872884,5.2582483,5.937711,4.599573
1228,11,11,0.35164878,1.421968,-5.4300895,3.38873,-4.0535874,-2.8516228,-4.126274,-0.9148054,-0.62225145,-3.0916233,-4.665908,-3.218521,-2.9357882,6.672386,5.4823093,5.396009,5.096755,4.7724524
1229,11,11,0.35059375,1.2660962,-5.449106,2.3978667,-4.355775,-3.3160722,-4.2356644,-1.1590347,-0.8528989,-2.8562531,-4.386942,-2.7075374,-2.4793966,7.255224,5.402564,6.26657,5.040257,5.320582
1230,11,11,0.3628403,1.2954713,-5.4460983,2.442687,-4.357047,-3.2279704,-4.201844,-1.2075145,-0.8264837,-2.867577,-4.403722,-2.7476902,-2.5883412,7.195622,5.541164,6.124387,5.179907,5.196567
1231,11,11,0.42960125,1.2658318,-5.4453254,2.8510475,-4.25727,-3.0868134,-4.140339,-1.0845453,-0.7678865,-2.9325724,-4.567759,-2.8438783,-2.6849313,7.1426897,5.612745,5.788549,5.2704325,4.6629696
1234,11,11,0.21257293,1.3648196,-5.4455748,1.8483522,-4.495986,-3.2947938,-4.2689314,-1.4204646,-0.84166837,-2.6987216,-4.17985,-2.540306,-2.6060739,7.1625967,5.5199885,6.5589485,5.134511,5.7935963
1235,11,11,0.12931103,1.4123471,-5.4384084,1.8763726,-4.452054,-3.2597353,-4.3166084,-1.3726196,-0.72789884,-2.751756,-4.1261497,-2.637827,-2.7202451,6.9745655,5.4448013,6.598255,5.042982,5.9810863
1236,11,11,0.10221794,1.3516481,-5.441296,2.4909348,-4.2653213,-3.1730094,-4.226664,-1.041192,-0.58728224,-2.920125,-4.2733645,-2.7732625,-2.902347,6.870399,5.11163,6.593946,4.4807844,5.7518797
1237,11,11,0.26047862,1.426147,-5.43785,1.8708481,-4.5603857,-3.1953406,-4.320871,-1.4433334,-0.73827606,-2.7358136,-4.204227,-2.5922477,-2.7062087,7.0676327,5.882656,6.2345614,5.6496077,5.359157
1238,11,14,0.08913964,1.5051867,-5.4533753,0.42739302,-4.9346323,-3.143831,-4.5149164,-1.7058989,-0.78755367,-2.4078186,-3.7332869,-1.9568347,-2.6045384,6.647575,6.5696125,6.178693,6.9649086,5.3086557
1239,11,11,0.060910404,1.558583,-5.426281,0.5339814,-4.889513,-3.250524,-4.55948,-1.9279232,-0.7139381,-2.5209484,-3.688519,-2.1566176,-2.836184,6.9384604,6.4417324,6.710556,6.43247,5.8468122
1240,11,13,0.040418595,1.510204,-5.4199066,0.15792876,-4.9113216,-3.3699574,-4.60499,-2.0573812,-0.6981627,-2.4943583,-3.4885283,-2.0027618,-2.9292574,7.081255,6.3691096,7.211305,6.1663275,6.1757727
1241,11,13,0.1040421,1.5495397,-5.398052,-1.9920261,-5.49769,-3.848531,-5.00688,-2.6224852,-0.9133996,-2.0678768,-2.661821,-1.0486103,-2.474527,7.34472,6.766244,7.7336407,6.866198,7.2531757
1242,11,13,0.028369099,1.5983415,-5.3910265,-2.538593,-5.646413,-3.7716002,-5.1239495,-2.7274153,-0.9134127,-1.988952,-2.3813486,-0.8619249,-2.5283043,7.0634394,7.150645,7.505148,7.3812003,7.3779707
1243,11,13,0.019627243,1.5962391,-5.3813844,-2.949498,-5.7089796,-3.8085625,-5.190934,-2.8043284,-0.9257759,-1.937277,-2.1813972,-0.6486565,-2.5423183,7.093046,7.322949,7.6074185,7.5241203,7.385514
1244,11,13,0.10117568,1.5762295,-5.357664,-3.9633458,-5.9044647,-3.9758883,-5.3641253,-2.9873917,-0.8750837,-1.7820902,-1.6647424,-0.08181751,-2.5922756,7.2160745,7.6125455,8.0271225,7.578352,7.53337
1245,11,15,0.042167336,1.4630796,-5.294504,-5.673031,-6.267918,-4.2557945,-5.525079,-3.395389,-0.82895964,-1.444164,-0.6784642,0.6380499,-2.6425622,7.328042,7.608452,8.409225,7.1812763,8.536449
1246,11,15,0.10731217,1.3113016,-5.2964816,-6.026088,-6.378252,-4.3775344,-5.5180883,-3.2581785,-0.5774489,-1.303696,-0.33730394,0.8291009,-2.6071227,7.2211847,6.966303,8.520221,6.8752246,8.7993145
1247,11,13,0.011123121,1.3782946,-5.314658,-5.317024,-6.2342224,-4.2079225,-5.4750752,-3.286782,-0.63085043,-1.4938622,-0.8306841,0.38962728,-2.763335,7.132703,7.284501,8.628508,7.1221437,8.598275
1248,11,13,0.061226383,1.5414122,-5.320338,-5.054635,-6.103218,-4.026106,-5.4860544,-3.2886817,-0.78836536,-1.6076851,-1.008486,0.2677796,-2.807303,7.0975122,7.867795,8.278076,7.5851126,8.054592
1249,11,13,0.02252525,1.4550006,-5.2887383,-5.6344786,-6.2602105,-4.135273,-5.566103,-3.3843975,-0.58781576,-1.5091746,-0.614787,0.42503685,-2.9315538,6.992456,7.7680573,8.543125,7.3858232,8.475043
1250,11,15,0.07658547,1.4386916,-5.2639446,-6.258258,-6.3773727,-4.264104,-5.6671753,-3.3768587,-0.51039416,-1.4087703,-0.17368402,0.7209497,-2.8755083,7.0315175,7.7181044,8.397702,7.2567854,8.625345
1251,11,13,0.006282687,1.5264529,-5.324644,-4.8312116,-6.0027485,-3.8841197,-5.552136,-3.1783867,-0.6228917,-1.6848705,-1.0583562,0.15595037,-2.9541938,6.8900833,8.140764,8.162847,7.803671,7.507225
1252,11,13,0.110664815,1.4418879,-5.360635,-2.4357467,-5.4111576,-3.4534516,-5.2353926,-2.7809963,-0.40649924,-2.1868296,-2.2226517,-1.0149739,-3.3109076,6.5362415,7.670655,8.086193,7.721769,6.438128
1253,11,13,0.12921378,1.3978599,-5.360845,-1.9077854,-5.193747,-3.2867794,-5.2052507,-2.677537,-0.24296299,-2.34662,-2.3518932,-1.311088,-3.5701032,6.2411146,7.579285,8.06055,7.6520877,6.1625338
1254,11,13,0.15170348,1.3493235,-5.3444796,-2.2128475,-5.2218075,-3.172462,-5.2543883,-2.8073936,-0.021570802,-2.2989154,-2.0708685,-1.3018107,-3.8767872,5.819105,7.7247767,8.229011,7.760108,6.3147297
1255,11,13,0.35583675,1.2896807,-5.3792086,-1.1560605,-4.970603,-3.272079,-5.044509,-2.2589653,-0.0065889955,-2.4798338,-2.575752,-1.5561973,-3.6984808,6.19223,7.0082946,8.177692,7.071987,5.8827515
1256,11,13,0.06607476,1.390786,-5.375185,0.16118437,-4.523514,-2.9704745,-5.0167065,-1.9971341,0.09315553,-2.8126442,-3.107607,-2.0118842,-3.8801901,5.99382,7.0998735,7.328672,7.112512,4.7507477
1257,11,14,0.058363855,1.2166084,-5.3659067,0.23127505,-4.3945007,-2.555701,-5.1215386,-2.0839481,0.2791518,-2.7981477,-3.0590527,-2.136482,-4.191786,5.2968035,7.5134015,6.5870223,7.660318,4.4488726
1258,11,14,0.005832821,1.4284806,-5.3869696,1.3338851,-3.8600261,-2.4124165,-4.6048365,-1.3093121,0.59752214,-3.007218,-3.105843,-2.5735903,-4.537075,5.0044184,6.293659,6.3678017,6.3871775,4.3997993
1259,11,13,0.25124186,1.463212,-5.4006996,1.591996,-4.086814,-2.7168267,-4.4993744,-1.2980525,0.083575666,-2.9886477,-3.523927,-2.6317253,-3.9540458,5.847807,5.9388084,6.811151,5.7250724,5.0524993
1260,11,11,0.0006444603,1.5780085,-5.403528,1.5415895,-4.3432345,-2.8846529,-4.605965,-1.6077676,-0.37780398,-2.8790083,-3.8690023,-2.7342227,-3.3709707,6.390552,6.2301397,6.387975,6.108367,5.423275
1261,11,13,0.0024704784,1.7441047,-5.4241486,4.1441946,-3.2563198,-2.1245325,-3.897028,0.026343852,0.16164249,-3.4971902,-4.296119,-3.6537442,-4.1648397,5.061495,4.5828705,5.0716906,4.0755095,4.746674
1262,11,11,0.1478717,1.6681498,-5.4098015,4.058065,-3.6360211,-2.3705332,-4.0515537,-0.68534267,-0.370296,-3.328519,-4.668904,-3.690467,-3.6323023,5.813628,5.241828,5.0071473,4.590822,5.042819
1263,11,14,0.083302796,1.4731913,-5.4495544,2.404378,-4.249492,-2.694953,-4.287075,-0.9591671,-0.637462,-2.8704383,-4.400442,-2.912725,-2.770319,6.1342382,5.981636,5.0615034,6.4055767,4.540409
1264,11,11,0.11832103,1.5178163,-5.45287,2.5363293,-4.33113,-2.8233447,-4.1651306,-0.9812199,-0.7384605,-2.8252559,-4.469025,-2.9389915,-2.6486707,6.379304,5.7571077,5.177455,5.98515,4.8564415
1265,11,11,0.20783682,1.5153865,-5.4438696,2.936137,-4.1950235,-2.734479,-4.0822706,-0.99252987,-0.71468496,-2.926476,-4.553956,-3.1256413,-2.8411777,6.4043627,5.684506,5.1004076,5.645365,4.842228
1266,11,14,0.031849682,1.4632359,-5.442566,2.7774386,-4.149018,-2.5774162,-4.1956615,-0.89959645,-0.52584094,-2.9420526,-4.529827,-2.9918218,-2.9318604,6.116827,6.0192013,4.8871,6.2221956,4.1517143
1267,11,11,0.10488886,1.526046,-5.438616,2.1601088,-4.4183965,-2.825217,-4.2544045,-1.3055985,-0.6513289,-2.8058543,-4.2750177,-2.8354566,-2.9022932,6.4784436,6.0672684,5.491205,6.106117,4.9834204
1268,11,11,0.022965938,1.5639464,-5.4380083,0.7156212,-4.823103,-3.1427927,-4.493662,-1.7735754,-0.7904124,-2.5257716,-3.7746682,-2.2530773,-2.7057586,6.721284,6.3863807,6.261294,6.6343985,5.6896544
1269,11,13,0.08000004,1.556041,-5.415493,-0.65563333,-5.138733,-3.5468001,-4.814409,-2.2582169,-0.77533925,-2.3489256,-3.1954052,-1.707156,-2.6914496,7.0792375,6.564288,7.368688,6.668761,6.565624
1270,11,13,0.33340484,1.3241482,-5.421098,-0.82564723,-5.100236,-3.6259456,-4.8090696,-2.0474896,-0.4994048,-2.3049634,-2.9611433,-1.6008935,-2.8751173,6.9236684,6.015705,8.010752,5.990723,6.956048
1271,11,13,0.3855577,1.327686,-5.42259,-1.0567065,-4.939615,-3.332203,-4.7399607,-1.7825577,-0.013318241,-2.3125715,-2.5459366,-1.6062412,-3.3749976,6.241516,5.9856777,7.8163223,6.2810087,6.5472093
1272,11,13,0.45977625,1.2631007,-5.3851786,-2.484907,-5.450215,-3.6616864,-5.092258,-2.540788,-0.20883483,-2.0964231,-2.0909278,-0.97386867,-3.286336,6.5883794,6.866429,8.562153,6.9744635,6.9690657
1273,11,13,0.4168077,1.3284185,-5.364518,-3.254684,-5.6982093,-4.0245695,-5.3084307,-2.8135276,-0.54710853,-1.989861,-1.9414705,-0.48035172,-2.8506417,7.202958,7.161236,8.738195,7.13542,7.260511
1274,11,13,0.2643872,1.4587827,-5.3544946,-3.3329365,-5.6677103,-3.8464746,-5.324485,-2.9657354,-0.56926715,-1.9922416,-1.8921653,-0.562289,-2.9715557,6.9853034,7.5018325,8.440882,7.4776793,7.2274113
1275,11,14,0.10001913,1.4706779,-5.3947783,-2.349206,-5.4642544,-3.444476,-5.157097,-2.6212068,-0.71646464,-2.0673418,-2.3726695,-0.9318227,-2.8203475,6.5874953,7.60518,7.2382374,7.923994,6.4774857
1276,11,14,0.057680696,1.5694413,-5.4072514,-1.2643093,-5.2040234,-3.3988574,-4.914989,-2.4625673,-0.80892146,-2.2979188,-2.8900084,-1.5672181,-2.816852,6.758401,7.040213,7.179654,7.4020467,6.566845
1277,11,11,0.028569043,1.5129296,-5.4365463,0.81422573,-4.7149253,-3.2896328,-4.443203,-1.7415519,-0.8040172,-2.5708642,-3.7024548,-2.3360672,-2.7680907,6.892798,5.84325,6.7975445,5.675653,6.4175215
1278,11,11,0.3550972,1.3959613,-5.451704,2.900023,-4.2594023,-3.000318,-3.9718187,-0.97894645,-0.9209087,-2.8846757,-4.510472,-3.003356,-2.630497,6.7725983,5.2498426,5.58323,4.834964,5.4643326
1279,11,11,0.35400409,1.4335642,-5.4541683,2.8663955,-4.2883797,-2.908063,-3.8285832,-0.9216579,-1.0285264,-2.7848973,-4.549749,-2.9904654,-2.4621415,6.5823927,5.249653,5.096178,5.0303516,5.3336725
1280,11,11,0.2586788,1.4636636,-5.4685063,2.6863024,-4.2983785,-2.836592,-3.7777147,-0.74244547,-1.0520204,-2.705033,-4.6073265,-2.8272011,-2.2640767,6.385599,5.3538904,4.7304325,5.5366793,4.8234005
